1,2,3,4,5,6,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Symbol,Ticker,Cash ,Name,FUT_CONT_SIZE Sep,Futs1,Futs2,name august,name sep,ID_BB_GLOBAL August ,ID SEP,FUT_CONT_SIZE August,FUT_CONT_SIZE Sep,px_last
,BLSTR,BLSTR IS Equity,BLUE STAR LTD,325,BLSTR=Q5 is equity,BLSTR=U5 is equity,BLUE STAR LTD Aug25,BLUE STAR LTD Sep25,BBG01V9XSFY7,BBG01VT8QJ29,325,325,1749.5
,360ON,360ONE IS Equity,360 ONE WAM LTD,500,360ON=Q5 is equity,360ON=U5 is equity,360 ONE WAM LTD Aug25,360 ONE WAM LTD Sep25,BBG01VT8QJ47,BBG01VT8QJ56,500,500,1033.3
,AMBER,AMBER IS Equity,AMBER ENTERPRISES INDIA LTD,100,AMBER=Q5 is equity,AMBER=U5 is equity,AMBER ENTERPRISES Aug25,AMBER ENTERPRISES Sep25,BBG01VT8QJ74,BBG01VT8QJ83,100,100,6910
,KFINT,KFINTECH IS Equity,KFIN TECHNOLOGIES LTD,450,KFINT=Q5 is equity,KFINT=U5 is equity,KFIN TECHNOLOGIES Aug25,KFIN TECHNOLOGIES Sep25,BBG01VT8QJB9,BBG01VT8QJC8,450,450,1102.3
,PGEL,PGEL IS Equity,PG ELECTROPLAST LTD,700,PGEL=Q5 is equity,PGEL=U5 is equity,PG ELECTROPLAST LT Aug25,PG ELECTROPLAST LT Sep25,BBG01VT8QJF5,BBG01VT8QJG4,700,700,485.85
,SUEL,SUEL IS Equity,SUZLON ENERGY LTD,8000,SUEL=Q5 is equity,SUEL=U5 is equity,SUZLON ENERGY Aug25,SUZLON ENERGY Sep25,BBG01WGH2QJ3,BBG01WGH2QK1,8000,8000,60.27
NUVAMA,NUVAM,NUVAMA IS Equity,NUVAMA WEALTH MANAGEMENT LTD,75,NUVAM=Q5 is equity,NUVAM=U5 is equity,NUVAMA WEALTH MA Aug25,NUVAMA WEALTH MA Sep25,BBG01WGD1849,BBG01WGD1858,75,75,7100
ABB,ABB,ABB IS Equity,ABB INDIA LTD,125,,,,,,,,,
ABCAP,ABCAP,ABCAP IS Equity,ADITYA BIRLA CAPITAL LTD,3100,,,,,,,,,
ABFRL,ABFRL,ABFRL IS Equity,ADITYA BIRLA FASHION AND RET,#N/A Invalid Security,,,,,,,,,
ADANIENS,ADANE,ADANIENS IS Equity,ADANI ENERGY SOLUTIONS LTD,675,,,,,,,,,
ADE,ADE,ADE IS Equity,ADANI ENTERPRISES LTD,300,,,,,,,,,
ADANIGR,ADANG,ADANIGR IS Equity,ADANI GREEN ENERGY LTD,600,,,,,,,,,
ADSEZ,ADSEZ,ADSEZ IS Equity,ADANI PORTS AND SPECIAL ECON,475,,,,,,,,,
ALKEM,ALKEM,ALKEM IS Equity,ALKEM LABORATORIES LTD,125,,,,,,,,,
ACEM,ACEM,ACEM IS Equity,AMBUJA CEMENTS LTD,1050,,,,,,,,,
ANGELONE,ANGEL,ANGELONE IS Equity,ANGEL ONE LTD,250,,,,,,,,,
APAT,APAT,APAT IS Equity,APL APOLLO TUBES LTD,350,,,,,,,,,
APHS,APHS,APHS IS Equity,APOLLO HOSPITALS ENTERPRISE,125,,,,,,,,,
AL,AL,AL IS Equity,ASHOK LEYLAND LTD,5000,,,,,,,,,
APNT,APNT,APNT IS Equity,ASIAN PAINTS LTD,250,,,,,,,,,
ASTRA,ASTRA,ASTRA IS Equity,ASTRAL LTD,425,,,,,,,,,
ATGL,ATGL,ATGL IS Equity,ADANI TOTAL GAS LTD,#N/A Invalid Security,,,,,,,,,
AUBANK,AUBAN,AUBANK IS Equity,AU SMALL FINANCE BANK LTD,1000,,,,,,,,,
ARBP,ARBP,ARBP IS Equity,AUROBINDO PHARMA LTD,550,,,,,,,,,
AXSB,AXSB,AXSB IS Equity,AXIS BANK LTD,625,,,,,,,,,
BJAUT,BJAUT,BJAUT IS Equity,BAJAJ AUTO LTD,75,,,,,,,,,
BJFIN,BJFIN,BJFIN IS Equity,BAJAJ FINSERV LTD,500,,,,,,,,,
BAF,BAF,BAF IS Equity,BAJAJ FINANCE LTD,750,,,,,,,,,
BANDHAN,BANDH,BANDHAN IS Equity,BANDHAN BANK LTD,3600,,,,,,,,,
BOB,BOB,BOB IS Equity,BANK OF BARODA,2925,,,,,,,,,
BOI,BOI,BOI IS Equity,BANK OF INDIA,5200,,,,,,,,,
BHE,BHE,BHE IS Equity,BHARAT ELECTRONICS LTD,2850,,,,,,,,,
BHFC,BHFC,BHFC IS Equity,BHARAT FORGE LTD,500,,,,,,,,,
BHARTI,BHART,BHARTI IS Equity,BHARTI AIRTEL LTD,475,,,,,,,,,
BHEL,BHEL,BHEL IS Equity,BHARAT HEAVY ELECTRICALS,2625,,,,,,,,,
BIOS,BIOS,BIOS IS Equity,BIOCON LTD,2500,,,,,,,,,
BOS,BOS,BOS IS Equity,BOSCH LTD,25,,,,,,,,,
BPCL,BPCL,BPCL IS Equity,BHARAT PETROLEUM CORP LTD,1975,,,,,,,,,
BRIT,BRIT,BRIT IS Equity,BRITANNIA INDUSTRIES LTD,125,,,,,,,,,
BSE,BSE,BSE IS Equity,BSE LTD,375,,,,,,,,,
CAMS,CAMS,CAMS IS Equity,COMPUTER AGE MANAGEMENT SERV,150,,,,,,,,,
CBK,CBK,CBK IS Equity,CANARA BANK,6750,,,,,,,,,
CDSL,CDSL,CDSL IS Equity,CENTRAL DEPOSITORY SERVICES,475,,,,,,,,,
CESC,CESC,CESC IS Equity,CESC LTD,#N/A Invalid Security,,,,,,,,,
CGPOWER,CGPOW,CGPOWER IS Equity,CG POWER AND INDUSTRIAL SOLU,850,,,,,,,,,
CIFC,CIFC,CIFC IS Equity,CHOLAMANDALAM INVESTMENT AND,625,,,,,,,,,
CIPLA,CIPLA,CIPLA IS Equity,CIPLA LTD,375,,,,,,,,,
COAL,COAL,COAL IS Equity,COAL INDIA LTD,1350,,,,,,,,,
COFORGE,COFOR,COFORGE IS Equity,COFORGE LIMITED,375,,,,,,,,,
CLGT,CLGT,CLGT IS Equity,COLGATE PALMOLIVE (INDIA),225,,,,,,,,,
CCRI,CCRI,CCRI IS Equity,CONTAINER CORP OF INDIA LTD,1250,,,,,,,,,
CROMPTON,CROMP,CROMPTON IS Equity,CROMPTON GREAVES CONSUMER EL,1800,,,,,,,,,
KKC,KKC,KKC IS Equity,CUMMINS INDIA LTD,200,,,,,,,,,
CYL,CYL,CYL IS Equity,CYIENT LTD,425,,,,,,,,,
DABUR,DABUR,DABUR IS Equity,DABUR INDIA LTD,1250,,,,,,,,,
DALBHARA,DALBH,DALBHARA IS Equity,DALMIA BHARAT LTD,325,,,,,,,,,
DELHIVER,DELHV,DELHIVER IS Equity,DELHIVERY LTD,2075,,,,,,,,,
DIVI,DIVI,DIVI IS Equity,DIVI'S LABORATORIES LTD,100,,,,,,,,,
DIXON,DIXON,DIXON IS Equity,DIXON TECHNOLOGIES INDIA LTD,50,,,,,,,,,
DLFU,DLFU,DLFU IS Equity,DLF LTD,825,,,,,,,,,
DMART,DMART,DMART IS Equity,AVENUE SUPERMARTS LTD,150,,,,,,,,,
DRRD,DRRD,DRRD IS Equity,DR. REDDY'S LABORATORIES,625,,,,,,,,,
EIM,EIM,EIM IS Equity,EICHER MOTORS LTD,175,,,,,,,,,
ETERNAL,ETERN,ETERNAL IS Equity,ETERNAL LTD,2425,,,,,,,,,
EXID,EXID,EXID IS Equity,EXIDE INDUSTRIES LTD,1800,,,,,,,,,
FB,FB,FB IS Equity,FEDERAL BANK LTD,5000,,,,,,,,,
GAIL,GAIL,GAIL IS Equity,GAIL INDIA LTD,3150,,,,,,,,,
GNP,GNP,GNP IS Equity,GLENMARK PHARMACEUTICALS LTD,375,,,,,,,,,
GMRAIRPO,GMRAI,GMRAIRPO IS Equity,GMR AIRPORTS LTD,6975,,,,,,,,,
GCPL,GCPL,GCPL IS Equity,GODREJ CONSUMER PRODUCTS LTD,500,,,,,,,,,
GPL,GPL,GPL IS Equity,GODREJ PROPERTIES LTD,275,,,,,,,,,
GRAN,GRAN,GRAN IS Equity,GRANULES INDIA LTD,#N/A Invalid Security,,,,,,,,,
GRASIM,GRASI,GRASIM IS Equity,GRASIM INDUSTRIES LTD,250,,,,,,,,,
HNAL,HNAL,HNAL IS Equity,HINDUSTAN AERONAUTICS LTD,150,,,,,,,,,
HAVL,HAVL,HAVL IS Equity,HAVELLS INDIA LTD,500,,,,,,,,,
HCLT,HCLT,HCLT IS Equity,HCL TECHNOLOGIES LTD,350,,,,,,,,,
HDFCAMC,HAMC,HDFCAMC IS Equity,HDFC ASSET MANAGEMENT CO LTD,150,,,,,,,,,
HDFCB,HDFCB,HDFCB IS Equity,HDFC BANK LIMITED,1100,,,,,,,,,
HDFCLIFE,HDFCL,HDFCLIFE IS Equity,HDFC LIFE INSURANCE CO LTD,1100,,,,,,,,,
HMCL,HMCL,HMCL IS Equity,HERO MOTOCORP LTD,150,,,,,,,,,
HMFC,HMFC,HMFC IS Equity,HFCL LTD,6450,,,,,,,,,
HNDL,HNDL,HNDL IS Equity,HINDALCO INDUSTRIES LTD,1400,,,,,,,,,
HPCL,HPCL,HPCL IS Equity,HINDUSTAN PETROLEUM CORP,2025,,,,,,,,,
HUVR,HUVR,HUVR IS Equity,HINDUSTAN UNILEVER LTD,300,,,,,,,,,
HZ,HZ,HZ IS Equity,HINDUSTAN ZINC LTD,1225,,,,,,,,,
HUDCO,HUDCO,HUDCO IS Equity,HOUSING & URBAN DEV CORP LTD,2775,,,,,,,,,
ICICIBC,ICICI,ICICIBC IS Equity,ICICI BANK LTD,700,,,,,,,,,
ICICIGI,ICICG,ICICIGI IS Equity,ICICI LOMBARD GENERAL INSURA,325,,,,,,,,,
IPRU,IPRU,IPRU IS Equity,ICICI PRUDENTIAL LIFE INSURA,925,,,,,,,,,
IDEA,IDEA,IDEA IS Equity,VODAFONE IDEA LTD,71475,,,,,,,,,
IDFCFB,IDFCF,IDFCFB IS Equity,IDFC FIRST BANK LTD,9275,,,,,,,,,
IEX,IEX,IEX IS Equity,INDIAN ENERGY EXCHANGE LTD,3750,,,,,,,,,
IGL,IGL,IGL IS Equity,INDRAPRASTHA GAS LTD,2750,,,,,,,,,
IIFL,IIFL,IIFL IS Equity,IIFL FINANCE LTD,1650,,,,,,,,,
IH,IH,IH IS Equity,INDIAN HOTELS CO LTD,1000,,,,,,,,,
INBK,INBK,INBK IS Equity,INDIAN BANK,1000,,,,,,,,,
INDIGO,INDIG,INDIGO IS Equity,INTERGLOBE AVIATION LTD,150,,,,,,,,,
IIB,IIB,IIB IS Equity,INDUSIND BANK LTD,700,,,,,,,,,
INDUSTOW,INDUS,INDUSTOW IS Equity,INDUS TOWERS LTD,1700,,,,,,,,,
INFO,INFO,INFO IS Equity,INFOSYS LTD,400,,,,,,,,,
INXW,INXW,INXW IS Equity,INOX WIND LTD,3272,,,,,,,,,
IOCL,IOCL,IOCL IS Equity,INDIAN OIL CORP LTD,4875,,,,,,,,,
IRB,IRB,IRB IS Equity,IRB INFRASTRUCTURE DEVELOPER,#N/A Invalid Security,,,,,,,,,
IRCTC,IRCTC,IRCTC IS Equity,INDIAN RAILWAY CATERING & TO,875,,,,,,,,,
IREDA,IREDA,IREDA IS Equity,INDIAN RENEWABLE ENERGY DEVE,3450,,,,,,,,,
IRFC,IRFC,IRFC IS Equity,INDIAN RAILWAY FINANCE CORP,4250,,,,,,,,,
ITC,ITC,ITC IS Equity,ITC LTD,1600,,,,,,,,,
JSP,JSP,JSP IS Equity,JINDAL STEEL & POWER LTD,625,,,,,,,,,
JIOFIN,JIOFI,JIOFIN IS Equity,JIO FINANCIAL SERVICES LTD,2350,,,,,,,,,
JDSL,JDSL,JDSL IS Equity,JINDAL STAINLESS LTD,#N/A Invalid Security,,,,,,,,,
JSW,JSW,JSW IS Equity,JSW ENERGY LTD,1000,,,,,,,,,
JSTL,JSTL,JSTL IS Equity,JSW STEEL LTD,675,,,,,,,,,
JUBI,JUBI,JUBI IS Equity,JUBILANT FOODWORKS LTD,1250,,,,,,,,,
KALYANKJ,KALYA,KALYANKJ IS Equity,KALYAN JEWELLERS INDIA LTD,1175,,,,,,,,,
KEII,KEII,KEII IS Equity,KEI INDUSTRIES LTD,175,,,,,,,,,
KMB,KMB,KMB IS Equity,KOTAK MAHINDRA BANK LTD,400,,,,,,,,,
KPITTECH,KPITT,KPITTECH IS Equity,KPIT TECHNOLOGIES LTD,400,,,,,,,,,
LAURUS,LAURU,LAURUS IS Equity,LAURUS LABS LTD,1700,,,,,,,,,
LICHF,LICHF,LICHF IS Equity,LIC HOUSING FINANCE LTD,1000,,,,,,,,,
LICI,LICI,LICI IS Equity,LIFE INSURANCE CORPORATION,700,,,,,,,,,
LODHA,LODHA,LODHA IS Equity,LODHA DEVELOPERS LTD,450,,,,,,,,,
LT,LT,LT IS Equity,LARSEN & TOUBRO LTD,175,,,,,,,,,
LTF,LTF,LTF IS Equity,L&T FINANCE LTD,4462,,,,,,,,,
LTIM,LTIM,LTIM IS Equity,LTIMINDTREE LTD,150,,,,,,,,,
LPC,LPC,LPC IS Equity,LUPIN LTD,425,,,,,,,,,
MM,MM,MM IS Equity,MAHINDRA & MAHINDRA LTD,200,,,,,,,,,
MGFL,MGFL,MGFL IS Equity,MANAPPURAM FINANCE LTD,3000,,,,,,,,,
MRCO,MRCO,MRCO IS Equity,MARICO LTD,1200,,,,,,,,,
MSIL,MSIL,MSIL IS Equity,MARUTI SUZUKI INDIA LTD,50,,,,,,,,,
MAXHEALT,MAXHE,MAXHEALT IS Equity,MAX HEALTHCARE INSTITUTE LTD,525,,,,,,,,,
MCX,MCX,MCX IS Equity,MULTI COMMODITY EXCH INDIA,125,,,,,,,,,
MAXF,MAXF,MAXF IS Equity,MAX FINANCIAL SERVICES LTD,800,,,,,,,,,
MOTHERSO,MOTHE,MOTHERSO IS Equity,SAMVARDHANA MOTHERSON INTERN,6150,,,,,,,,,
MPHL,MPHL,MPHL IS Equity,MPHASIS LTD,275,,,,,,,,,
MUTH,MUTH,MUTH IS Equity,MUTHOOT FINANCE LTD,275,,,,,,,,,
NACL,NACL,NACL IS Equity,NATIONAL ALUMINIUM CO LTD,3750,,,,,,,,,
INFOE,INFOE,INFOE IS Equity,INFO EDGE INDIA LTD,375,,,,,,,,,
NBCC,NBCC,NBCC IS Equity,NBCC INDIA LTD,6500,,,,,,,,,
NJCC,NJCC,NJCC IS Equity,NCC LTD,2700,,,,,,,,,
NEST,NEST,NEST IS Equity,NESTLE INDIA LTD,500,,,,,,,,,
NHPC,NHPC,NHPC IS Equity,NHPC LTD,6400,,,,,,,,,
NMDC,NMDC,NMDC IS Equity,NMDC LTD,13500,,,,,,,,,
NTPC,NTPC,NTPC IS Equity,NTPC LTD,1500,,,,,,,,,
NYKAA,NYKAA,NYKAA IS Equity,FSN E-COMMERCE VENTURES LTD,3125,,,,,,,,,
OBER,OBER,OBER IS Equity,OBEROI REALTY LTD,350,,,,,,,,,
OFSS,OFSS,OFSS IS Equity,ORACLE FINANCIAL SERVICES,75,,,,,,,,,
OINL,OINL,OINL IS Equity,OIL INDIA LTD,1400,,,,,,,,,
ONGC,ONGC,ONGC IS Equity,OIL & NATURAL GAS CORP LTD,2250,,,,,,,,,
PAG,PAG,PAG IS Equity,PAGE INDUSTRIES LTD,15,,,,,,,,,
PATANJAL,PATAN,PATANJAL IS Equity,PATANJALI FOODS LTD,300,,,,,,,,,
PAYTM,PAYTM,PAYTM IS Equity,ONE 97 COMMUNICATIONS LTD,725,,,,,,,,,
PSYS,PSYS,PSYS IS Equity,PERSISTENT SYSTEMS LTD,100,,,,,,,,,
PLNG,PLNG,PLNG IS Equity,PETRONET LNG LTD,1800,,,,,,,,,
POWF,POWF,POWF IS Equity,POWER FINANCE CORPORATION,1300,,,,,,,,,
PHNX,PHNX,PHNX IS Equity,PHOENIX MILLS LTD,350,,,,,,,,,
PIDI,PIDI,PIDI IS Equity,PIDILITE INDUSTRIES LTD,250,,,,,,,,,
PI,PI,PI IS Equity,PI INDUSTRIES LTD,175,,,,,,,,,
PNB,PNB,PNB IS Equity,PUNJAB NATIONAL BANK,8000,,,,,,,,,
PNBHOUSI,PNBHO,PNBHOUSI IS Equity,PNB HOUSING FINANCE LTD,650,,,,,,,,,
POLICYBZ,POLIC,POLICYBZ IS Equity,PB FINTECH LTD,350,,,,,,,,,
POLYCAB,POLYC,POLYCAB IS Equity,POLYCAB INDIA LTD,125,,,,,,,,,
POONAWAL,POONA,POONAWAL IS Equity,POONAWALLA FINCORP LTD,#N/A Invalid Security,,,,,,,,,
PWGR,PWGR,PWGR IS Equity,POWER GRID CORP OF INDIA LTD,1900,,,,,,,,,
PEPL,PEPL,PEPL IS Equity,PRESTIGE ESTATES PROJECTS,450,,,,,,,,,
RBK,RBK,RBK IS Equity,RBL BANK LTD,3175,,,,,,,,,
RECL,RECL,RECL IS Equity,REC LTD,1275,,,,,,,,,
RELIANCE,RIL,RELIANCE IS Equity,RELIANCE INDUSTRIES LTD,500,,,,,,,,,
SAIL,SAIL,SAIL IS Equity,STEEL AUTHORITY OF INDIA,4700,,,,,,,,,
SBICARD,SBICA,SBICARD IS Equity,SBI CARDS & PAYMENT SERVICES,800,,,,,,,,,
SBILIFE,SBILI,SBILIFE IS Equity,SBI LIFE INSURANCE CO LTD,375,,,,,,,,,
SBIN,SBIN,SBIN IS Equity,STATE BANK OF INDIA,750,,,,,,,,,
SRCM,SRCM,SRCM IS Equity,SHREE CEMENT LTD,25,,,,,,,,,
SHFL,SHFL,SHFL IS Equity,SHRIRAM FINANCE LTD,825,,,,,,,,,
SIEM,SIEM,SIEM IS Equity,SIEMENS LTD,125,,,,,,,,,
SJVN,SJVN,SJVN IS Equity,SJVN LTD,#N/A Invalid Security,,,,,,,,,
SOIL,SOIL,SOIL IS Equity,SOLAR INDUSTRIES INDIA LTD,75,,,,,,,,,
SONACOMS,SONAC,SONACOMS IS Equity,SONA BLW PRECISION FORGINGS,1050,,,,,,,,,
SRF,SRF,SRF IS Equity,SRF LTD,200,,,,,,,,,
SUNP,SUNP,SUNP IS Equity,SUN PHARMACEUTICAL INDUS,350,,,,,,,,,
SI,SI,SI IS Equity,SUPREME INDUSTRIES LTD,175,,,,,,,,,
SYNG,SYNG,SYNG IS Equity,SYNGENE INTERNATIONAL LTD,1000,,,,,,,,,
TTCH,TTCH,TTCH IS Equity,TATA CHEMICALS LTD,650,,,,,,,,,
TATACONS,TATAC,TATACONS IS Equity,TATA CONSUMER PRODUCTS LTD,550,,,,,,,,,
TELX,TELX,TELX IS Equity,TATA ELXSI LTD,100,,,,,,,,,
TTMT,TTMT,TTMT IS Equity,TATA MOTORS LTD,800,,,,,,,,,
TPWR,TPWR,TPWR IS Equity,TATA POWER CO LTD,1450,,,,,,,,,
TATA,TATA,TATA IS Equity,TATA STEEL LTD,5500,,,,,,,,,
TATATECH,TATAT,TATATECH IS Equity,TATA TECHNOLOGIES CO,800,,,,,,,,,
TCS,TCS,TCS IS Equity,TATA CONSULTANCY SVCS LTD,175,,,,,,,,,
TECHM,TECHM,TECHM IS Equity,TECH MAHINDRA LTD,600,,,,,,,,,
TIINDIA,TIIND,TIINDIA IS Equity,TUBE INVESTMENTS OF INDIA LT,200,,,,,,,,,
TITAGARH,TITAG,TITAGARH IS Equity,TITAGARH RAIL SYSTEM LTD,725,,,,,,,,,
TTAN,TTAN,TTAN IS Equity,TITAN CO LTD,175,,,,,,,,,
TRP,TRP,TRP IS Equity,TORRENT PHARMACEUTICALS LTD,250,,,,,,,,,
TPW,TPW,TPW IS Equity,TORRENT POWER LTD,375,,,,,,,,,
TRENT,TRENT,TRENT IS Equity,TRENT LTD,100,,,,,,,,,
TVSL,TVSL,TVSL IS Equity,TVS MOTOR CO LTD,350,,,,,,,,,
UTCEM,UTCEM,UTCEM IS Equity,ULTRATECH CEMENT LTD,50,,,,,,,,,
UNBK,UNBK,UNBK IS Equity,UNION BANK OF INDIA,4425,,,,,,,,,
UNITDSPR,UNITD,UNITDSPR IS Equity,UNITED SPIRITS LTD,400,,,,,,,,,
UPLL,UPLL,UPLL IS Equity,UPL LTD,1355,,,,,,,,,
VBL,VBL,VBL IS Equity,VARUN BEVERAGES LTD,1025,,,,,,,,,
VEDL,VEDL,VEDL IS Equity,VEDANTA LTD,1150,,,,,,,,,
VOLT,VOLT,VOLT IS Equity,VOLTAS LTD,375,,,,,,,,,
WPRO,WPRO,WPRO IS Equity,WIPRO LTD,3000,,,,,,,,,
YES,YES,YES IS Equity,YES BANK LTD,31100,,,,,,,,,
ZYDUSLIF,ZYDUS,ZYDUSLIF IS Equity,ZYDUS LIFESCIENCES LTD,900,,,,,,,,,
FORH,FORH,FORH IS Equity,FORTIS HEALTHCARE LTD,775,,,,,,,,,
PIRPHARM,PIRPH,PIRPHARM IS Equity,PIRAMAL PHARMA LTD,2500,,,,,,,,,
UNOMINDA,UNOMI,UNOMINDA IS Equity,UNO MINDA LTD,550,,,,,,,,,
BDL,BDL,BDL IS Equity,BHARAT DYNAMICS LTD,325,,,,,,,,,
KAYNES,KAYNE,KAYNES IS Equity,KAYNES TECHNOLOGY INDIA LTD,100,,,,,,,,,
MANKIND,MANKI,MANKIND IS Equity,MANKIND PHARMA LTD,225,,,,,,,,,
MAZDOCKS,MAZDO,MAZDOCKS IS Equity,MAZAGON DOCK SHIPBUILDERS LT,175,,,,,,,,,
RVNL,RVNL,RVNL IS Equity,RAIL VIKAS NIGAM LTD,1375,,,,,,,,,
BLSTR,BLSTR,BLSTR IS Equity,BLUE STAR LTD,325,,,,,,,,,
360ONE,360ON,360ONE IS Equity,360 ONE WAM LTD,500,,,,,,,,,
AMBER,AMBER,AMBER IS Equity,AMBER ENTERPRISES INDIA LTD,100,,,,,,,,,
KFINTECH,KFINT,KFINTECH IS Equity,KFIN TECHNOLOGIES LTD,450,,,,,,,,,
PGEL,PGEL,PGEL IS Equity,PG ELECTROPLAST LTD,700,,,,,,,,,
SUEL,SUEL,SUEL IS Equity,SUZLON ENERGY LTD,8000,,,,,,,,,
NUVAMA,NUVAM,NUVAMA IS Equity,NUVAMA WEALTH MANAGEMENT LTD,75,,,,,,,,,
NUVAM,NUVAM,NUVAMA IS Equity,NUVAMA WEALTH MANAGEMENT LTD,75,,,,,,,,,
ABB,ABB,ABB IS Equity,ABB INDIA LTD,125,,,,,,,,,
ABCAP,ABCAP,ABCAP IS Equity,ADITYA BIRLA CAPITAL LTD,3100,,,,,,,,,
ABFRL,ABFRL,ABFRL IS Equity,ADITYA BIRLA FASHION AND RET,#N/A Invalid Security,,,,,,,,,
ADANE,ADANE,ADANIENS IS Equity,ADANI ENERGY SOLUTIONS LTD,675,,,,,,,,,
ADE,ADE,ADE IS Equity,ADANI ENTERPRISES LTD,300,,,,,,,,,
ADANG,ADANG,ADANIGR IS Equity,ADANI GREEN ENERGY LTD,600,,,,,,,,,
ADSEZ,ADSEZ,ADSEZ IS Equity,ADANI PORTS AND SPECIAL ECON,475,,,,,,,,,
ALKEM,ALKEM,ALKEM IS Equity,ALKEM LABORATORIES LTD,125,,,,,,,,,
ACEM,ACEM,ACEM IS Equity,AMBUJA CEMENTS LTD,1050,,,,,,,,,
ANGEL,ANGEL,ANGELONE IS Equity,ANGEL ONE LTD,250,,,,,,,,,
APAT,APAT,APAT IS Equity,APL APOLLO TUBES LTD,350,,,,,,,,,
APHS,APHS,APHS IS Equity,APOLLO HOSPITALS ENTERPRISE,125,,,,,,,,,
AL,AL,AL IS Equity,ASHOK LEYLAND LTD,5000,,,,,,,,,
APNT,APNT,APNT IS Equity,ASIAN PAINTS LTD,250,,,,,,,,,
ASTRA,ASTRA,ASTRA IS Equity,ASTRAL LTD,425,,,,,,,,,
ATGL,ATGL,ATGL IS Equity,ADANI TOTAL GAS LTD,#N/A Invalid Security,,,,,,,,,
AUBAN,AUBAN,AUBANK IS Equity,AU SMALL FINANCE BANK LTD,1000,,,,,,,,,
ARBP,ARBP,ARBP IS Equity,AUROBINDO PHARMA LTD,550,,,,,,,,,
AXSB,AXSB,AXSB IS Equity,AXIS BANK LTD,625,,,,,,,,,
BJAUT,BJAUT,BJAUT IS Equity,BAJAJ AUTO LTD,75,,,,,,,,,
BJFIN,BJFIN,BJFIN IS Equity,BAJAJ FINSERV LTD,500,,,,,,,,,
BAF,BAF,BAF IS Equity,BAJAJ FINANCE LTD,750,,,,,,,,,
BANDH,BANDH,BANDHAN IS Equity,BANDHAN BANK LTD,3600,,,,,,,,,
BOB,BOB,BOB IS Equity,BANK OF BARODA,2925,,,,,,,,,
BOI,BOI,BOI IS Equity,BANK OF INDIA,5200,,,,,,,,,
BHE,BHE,BHE IS Equity,BHARAT ELECTRONICS LTD,2850,,,,,,,,,
BHFC,BHFC,BHFC IS Equity,BHARAT FORGE LTD,500,,,,,,,,,
BHART,BHART,BHARTI IS Equity,BHARTI AIRTEL LTD,475,,,,,,,,,
BHEL,BHEL,BHEL IS Equity,BHARAT HEAVY ELECTRICALS,2625,,,,,,,,,
BIOS,BIOS,BIOS IS Equity,BIOCON LTD,2500,,,,,,,,,
BOS,BOS,BOS IS Equity,BOSCH LTD,25,,,,,,,,,
BPCL,BPCL,BPCL IS Equity,BHARAT PETROLEUM CORP LTD,1975,,,,,,,,,
BRIT,BRIT,BRIT IS Equity,BRITANNIA INDUSTRIES LTD,125,,,,,,,,,
BSE,BSE,BSE IS Equity,BSE LTD,375,,,,,,,,,
CAMS,CAMS,CAMS IS Equity,COMPUTER AGE MANAGEMENT SERV,150,,,,,,,,,
CBK,CBK,CBK IS Equity,CANARA BANK,6750,,,,,,,,,
CDSL,CDSL,CDSL IS Equity,CENTRAL DEPOSITORY SERVICES,475,,,,,,,,,
CESC,CESC,CESC IS Equity,CESC LTD,#N/A Invalid Security,,,,,,,,,
CGPOW,CGPOW,CGPOWER IS Equity,CG POWER AND INDUSTRIAL SOLU,850,,,,,,,,,
CIFC,CIFC,CIFC IS Equity,CHOLAMANDALAM INVESTMENT AND,625,,,,,,,,,
CIPLA,CIPLA,CIPLA IS Equity,CIPLA LTD,375,,,,,,,,,
COAL,COAL,COAL IS Equity,COAL INDIA LTD,1350,,,,,,,,,
COFOR,COFOR,COFORGE IS Equity,COFORGE LIMITED,375,,,,,,,,,
CLGT,CLGT,CLGT IS Equity,COLGATE PALMOLIVE (INDIA),225,,,,,,,,,
CCRI,CCRI,CCRI IS Equity,CONTAINER CORP OF INDIA LTD,1250,,,,,,,,,
CROMP,CROMP,CROMPTON IS Equity,CROMPTON GREAVES CONSUMER EL,1800,,,,,,,,,
KKC,KKC,KKC IS Equity,CUMMINS INDIA LTD,200,,,,,,,,,
CYL,CYL,CYL IS Equity,CYIENT LTD,425,,,,,,,,,
DABUR,DABUR,DABUR IS Equity,DABUR INDIA LTD,1250,,,,,,,,,
DALBH,DALBH,DALBHARA IS Equity,DALMIA BHARAT LTD,325,,,,,,,,,
DELHV,DELHV,DELHIVER IS Equity,DELHIVERY LTD,2075,,,,,,,,,
DIVI,DIVI,DIVI IS Equity,DIVI'S LABORATORIES LTD,100,,,,,,,,,
DIXON,DIXON,DIXON IS Equity,DIXON TECHNOLOGIES INDIA LTD,50,,,,,,,,,
DLFU,DLFU,DLFU IS Equity,DLF LTD,825,,,,,,,,,
DMART,DMART,DMART IS Equity,AVENUE SUPERMARTS LTD,150,,,,,,,,,
DRRD,DRRD,DRRD IS Equity,DR. REDDY'S LABORATORIES,625,,,,,,,,,
EIM,EIM,EIM IS Equity,EICHER MOTORS LTD,175,,,,,,,,,
ETERN,ETERN,ETERNAL IS Equity,ETERNAL LTD,2425,,,,,,,,,
